comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
633207,2025-02-24,Dr. Nancy Rheault,Senior Director,1,Nancy Rheault,Senior Director,Nancy Rheault,Senior Director,Nancy Rheault,Senior Director
448619,2019-03-26,Dr. Nipun Vats,Assistant Deputy Minister,1,Nipun Vats,Assistant Deputy Minister,Nipun Vats,Assistant Deputy Minister,Nipun Vats,Assistant Deputy Minister
386328,2016-10-24,Hon. Nancy Green Raine,Senator,1,Nancy Green Raine,Senator,Nancy Greene Raine,Senator,Nancy Greene Raine,Senator
369362,2016-01-29,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
380674,2016-06-15,Hon Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains,"Minister, Innovation, Science and Economic Development",Navdeep Bains,Minister,Navdeep Bains,Minister
413648,2017-10-16,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
417933,2017-12-15,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
419144,2018-01-23,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
428888,2018-05-25,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
428891,2018-05-25,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
428900,2018-05-25,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
428905,2018-05-25,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
432708,2018-07-17,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
432715,2018-07-17,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
432718,2018-07-17,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
432721,2018-07-17,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
433691,2018-08-08,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
433694,2018-08-08,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
433696,2018-08-08,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
433700,2018-08-08,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
466997,2020-02-10,Hon Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
467939,2020-02-24,Hon Navdeep Bains,Member of Parliament,1,Navdeep Bains,Member of Parliament,Navdeep Bains,Minister,Navdeep Bains,Minister
365327,2015-11-20,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development Canada",1,Navdeep Bains,"Minister, Innovation, Science and Economic Development Canada",Navdeep Bains,Minister,Navdeep Bains,Minister
371930,2016-02-23,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains,"Minister, Innovation, Science and Economic Development",Navdeep Bains,Minister,Navdeep Bains,Minister
374897,2016-03-01,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains,"Minister, Innovation, Science and Economic Development",Navdeep Bains,Minister,Navdeep Bains,Minister
374134,2016-03-30,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development Canada",1,Navdeep Bains,"Minister, Innovation, Science and Economic Development Canada",Navdeep Bains,Minister,Navdeep Bains,Minister
383266,2016-06-10,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains,"Minister, Innovation, Science and Economic Development",Navdeep Bains,Minister,Navdeep Bains,Minister
382585,2016-07-10,Hon. Navdeep Bains,"Minister, ISED",1,Navdeep Bains,"Minister, ISED",Navdeep Bains,Minister,Navdeep Bains,Minister
382595,2016-07-19,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains,"Minister, Innovation, Science and Economic Development",Navdeep Bains,Minister,Navdeep Bains,Minister
383952,2016-09-15,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains,"Minister, Innovation, Science and Economic Development",Navdeep Bains,Minister,Navdeep Bains,Minister
392716,2016-12-16,Hon. Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
392461,2017-01-10,Hon. Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
405408,2017-06-20,Hon. Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
419533,2018-01-15,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains,"Minister, Innovation, Science and Economic Development",Navdeep Bains,Minister,Navdeep Bains,Minister
423040,2018-03-02,Hon. Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
423740,2018-03-02,Hon. Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
424352,2018-04-13,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains,"Minister, Innovation, Science and Economic Development",Navdeep Bains,Minister,Navdeep Bains,Minister
427741,2018-05-22,Hon. Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
430173,2018-06-20,Hon. Navdeep Bains,Minister,1,Navdeep Bains,Minister,Navdeep Bains,Minister,Navdeep Bains,Minister
