dpoh_id,comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
829b0693321a4bc9,365266,2015-11-12,Dr. William Yan,"Director, Bureau of Nutritional Sciences",1,William Yan,"Director, Bureau of Nutritional Sciences",William Yan,"Director, Bureau of Nutritional Sciences",William Yan,"Director, Bureau of Nutritional Sciences"
fc1d850f73e74dbb,457297,2019-06-27,H.E. Wendy Gilmour,High Commissioner of Canada to Pakistan,1,Wendy Gilmour,High Commissioner of Canada to Pakistan,Wendy Gilmour,Director General,Wendy Gilmour,Director General
b4da8c28b9b64677,414808,2017-12-06,Honourable Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
a1747350e13c45b1,403605,2017-06-06,Hon. Wanda Elaine Thomas Bernard,Senator,1,Wanda Elaine Thomas Bernard,Senator,Wanda Elaine Thomas Bernard,Senator,Wanda Elaine Thomas Bernard,Senator
b4da8c28b9b64677,380480,2016-06-08,Hon Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,422156,2018-02-13,Hon Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,428364,2018-05-11,Hon Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,321718,2014-04-08,Hon.  Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,169919,2011-03-18,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,226858,2012-06-07,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,334671,2014-09-23,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,339501,2014-11-25,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,343499,2014-11-26,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,372501,2016-02-17,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,378119,2016-05-26,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,382909,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,382912,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,382913,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,382914,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,382915,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,382916,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,382917,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,386326,2016-10-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,391414,2016-11-03,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,389554,2016-11-16,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,389123,2016-11-29,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,389131,2016-11-29,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,399856,2017-05-03,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,400247,2017-05-09,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,403382,2017-05-11,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,409015,2017-09-21,Hon. Wayne Easter,"Chair, Finance Committee",1,Wayne Easter,"Chair, Finance Committee",Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,408502,2017-09-26,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,416895,2017-11-14,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,418333,2017-12-05,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,421925,2018-02-13,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,439086,2018-10-23,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,439923,2018-11-19,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,442026,2018-11-28,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,442696,2018-12-11,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,444649,2019-02-06,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,446087,2019-02-06,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,448522,2019-03-19,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,455136,2019-06-04,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,456367,2019-06-18,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,456372,2019-06-18,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,462591,2019-12-09,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,469099,2020-03-27,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,471655,2020-04-20,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,474676,2020-05-16,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
b4da8c28b9b64677,474677,2020-05-20,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
